"category","product_count","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","review_rate_pct"
"health_beauty","2444","8836","21","1263138.54","183483.54","1446622.08","129.86","4.14","99.22"
"watches_gifts","1329","5624","12","1206075.33","100686.07","1306761.40","200.98","4.02","99.25"
"bed_bath_table","3029","9417","11","1050936.61","207252.90","1258189.51","93.25","3.90","99.01"
"sports_leisure","2867","7720","7","993656.51","169673.47","1163329.98","114.21","4.11","99.17"
"computers_accessories","1639","6689","20","919640.54","148429.94","1068070.48","116.50","3.93","99.28"
"furniture_decor","2657","6449","15","736282.47","174400.58","910683.05","87.50","3.90","99.30"
"cool_stuff","789","3632","7","637258.51","84234.39","721492.90","167.44","4.15","99.34"
"housewares","2335","5884","12","634542.60","146627.43","781170.03","90.79","4.06","99.49"
"auto","1900","3897","20","594363.10","93011.09","687374.19","139.65","4.07","99.54"
"garden_tools","753","3518","15","486432.45","99214.09","585646.54","111.54","4.04","99.63"
"toys","1411","3886","6","484769.90","77540.67","562310.57","117.52","4.16","99.23"
"baby","919","2885","12","412117.47","68529.79","480647.26","134.11","4.01","99.27"
"perfumery","868","3162","6","400212.94","54451.60","454664.54","116.51","4.16","99.84"
"telephony","1134","4199","14","323839.40","71351.58","395190.98","71.17","3.95","99.31"
"office_furniture","309","1273","11","275224.49","68858.27","344082.76","161.80","3.49","99.37"
"stationery","849","2311","6","231300.21","46923.94","278224.15","91.60","4.19","99.26"
"computers","30","181","4","222963.13","9836.30","232799.43","1098.34","4.18","98.34"
"pet_shop","719","1710","7","214591.41","39599.38","254190.79","110.10","4.19","99.42"
"small_appliances","231","630","6","191571.48","16164.71","207736.19","280.49","4.15","99.68"
"musical_instruments","289","628","6","191523.78","18649.45","210173.23","281.24","4.15","99.20"
"electronics","517","2550","8","160376.64","46612.59","206989.23","57.94","4.04","99.29"
"consoles_games","317","1062","6","158000.22","19844.32","177844.54","138.84","4.02","99.06"
"fashion_bags_accessories","849","1864","6","153656.90","31779.32","185436.22","74.95","4.14","99.52"
"construction_tools_construction","400","748","10","145509.39","20690.05","166199.44","156.29","4.05","99.33"
"luggage_accessories","349","1034","5","140429.98","30445.23","170875.21","128.60","4.32","99.61"
"home_appliances_2","90","234","2","113585.39","10634.99","124220.38","473.27","4.14","98.29"
"home_construction","225","490","6","83207.97","13844.10","97052.07","137.53","3.94","99.59"
"home_appliances","370","764","2","83195.60","15562.81","98758.41","102.84","4.17","97.77"
"agro_industry_and_commerce","74","182","6","72530.47","5843.60","78374.07","342.12","4.00","100.00"
"furniture_living_room","156","422","10","69427.26","18096.70","87523.96","136.94","3.90","98.82"
"fixed_telephony","116","217","8","59622.99","4658.61","64281.60","224.99","3.68","99.08"
"home_confort","111","397","5","58828.74","8551.47","67380.21","134.62","3.83","100.25"
"air_conditioning","124","253","7","55024.96","6749.23","61774.19","185.27","3.97","98.42"
"audio","58","350","3","50738.40","5724.54","56462.94","139.01","3.83","99.43"
"small_appliances_home_oven_and_coffee","31","75","2","47445.71","2747.86","50193.57","624.29","4.30","100.00"
"books_general_interest","216","512","4","46856.88","9195.52","56052.40","84.73","4.45","99.22"
"kitchen_dining_laundry_garden_furniture","94","248","5","46457.37","12085.49","58542.86","164.74","3.96","99.19"
"construction_tools_lights","78","244","6","41308.00","7610.38","48918.38","135.44","4.05","99.18"
"construction_tools_safety","91","167","6","40544.52","3919.10","44463.62","208.99","3.84","99.40"
"industry_commerce_and_business","68","235","4","39745.61","7905.70","47651.31","147.75","4.10","99.15"
"food","82","450","6","29393.41","7271.03","36664.44","57.63","4.22","98.89"
"market_place","104","280","6","28378.47","5456.06","33834.53","91.25","4.02","98.93"
"costruction_tools_garden","88","194","5","25769.74","5335.73","31105.47","107.37","4.05","100.52"
"art","55","202","6","24202.64","4045.17","28247.81","115.80","3.94","99.01"
"fashion_shoes","173","240","5","23767.47","4966.40","28733.87","89.69","4.23","99.58"
"drinks","81","297","10","22505.90","5788.17","28294.07","58.76","4.05","100.00"
"signaling_and_security","93","140","6","21509.23","6507.82","28017.05","108.09","4.09","97.86"
"furniture_bedroom","45","95","3","20278.78","4694.72","24973.50","184.35","4.12","101.05"
"books_technical","123","260","2","19149.03","4307.50","23456.53","71.19","4.37","99.62"
"costruction_tools_tools","39","97","2","15903.95","2030.22","17934.17","154.41","4.44","96.91"
"food_drink","104","227","5","15270.47","4556.33","19826.80","54.54","4.32","99.56"
"fashion_male_clothing","95","112","3","10797.82","2152.41","12950.23","81.80","3.64","99.11"
"fashion_underwear_beach","53","121","5","9541.55","1916.19","11457.74","72.84","3.98","99.17"
"christmas_supplies","65","128","6","8800.82","3229.30","12030.12","57.52","4.02","98.44"
"tablets_printing_image","9","79","2","7528.41","1226.20","8754.61","90.70","4.12","97.47"
"cine_photo","28","65","4","6949.36","1263.59","8212.95","95.20","4.21","101.54"
"music","27","38","2","6034.35","690.51","6724.86","158.80","4.21","100.00"
"dvds_blu_ray","48","59","3","5999.39","1288.74","7288.13","93.74","4.08","98.31"
"books_imported","31","53","2","4639.85","769.85","5409.70","77.33","4.40","100.00"
"party_supplies","26","39","2","4485.18","827.97","5313.15","104.31","3.77","100.00"
"furniture_mattress_and_upholstery","10","38","1","4368.08","1630.46","5998.54","114.95","3.82","100.00"
"fashio_female_clothing","27","39","5","2889.44","646.40","3535.84","57.79","3.78","105.13"
"fashion_sport","19","27","4","2144.50","592.23","2736.73","69.18","4.26","103.70"
"la_cuisine","10","13","2","2054.99","333.55","2388.54","146.79","4.00","92.31"
"arts_and_craftmanship","19","23","2","1814.01","370.13","2184.14","75.58","4.13","100.00"
"diapers_and_hygiene","12","27","5","1567.59","573.68","2141.27","40.19","3.26","100.00"
"flowers","14","29","2","1110.04","488.87","1598.91","33.64","4.42","96.55"
"home_comfort_2","5","24","3","760.27","410.31","1170.58","25.34","3.63","95.83"
"cds_dvds_musicals","1","12","2","730.00","224.99","954.99","52.14","4.64","100.00"
"fashion_childrens_clothes","5","8","1","569.85","95.51","665.36","71.23","4.50","100.00"
"security_and_services","2","2","1","283.29","41.22","324.51","141.65","2.50","100.00"
